source_kind,source_D,final_D,L0xx,final_date,final_suffix,source_rows
existing1711,L042072102,L042072101,L042,0721,1,"2|3"
existing1711,L042072103,L042072102,L042,0721,2,"4|5"
existing1711,L042072104,L042072103,L042,0721,3,"6|7"
new289,L042072631,L042072104,L042,0721,4,"3163|3164"
existing1711,L042072105,L042072105,L042,0721,5,"8|9"
existing1711,L042072106,L042072106,L042,0721,6,"10|11"
existing1711,L042072107,L042072107,L042,0721,7,"12|13"
new289,L042072632,L042072108,L042,0721,8,"3165|3166"
existing1711,L042072108,L042072109,L042,0721,9,"14|15"
existing1711,L042072109,L042072110,L042,0721,10,"16|17"
existing1711,L042072111,L042072111,L042,0721,11,"18|19"
existing1711,L042072113,L042072112,L042,0721,12,"20|21"
new289,L042072633,L042072113,L042,0721,13,"3167|3168"
existing1711,L042072114,L042072114,L042,0721,14,"22|23"
existing1711,L042072115,L042072115,L042,0721,15,"24|25"
existing1711,L042072116,L042072116,L042,0721,16,"26|27"
new289,L042072634,L042072117,L042,0721,17,"3169|3170"
existing1711,L042072117,L042072118,L042,0721,18,"28|29"
existing1711,L042072118,L042072119,L042,0721,19,"30|31"
existing1711,L042072119,L042072120,L042,0721,20,"32|33"
new289,L042072635,L042072121,L042,0721,21,"3171|3172"
existing1711,L042072120,L042072122,L042,0721,22,"34|35"
existing1711,L042072122,L042072123,L042,0721,23,"36|37"
existing1711,L042072123,L042072124,L042,0721,24,"38|39"
new289,L042072636,L042072125,L042,0721,25,"3173|3174"
existing1711,L042072124,L042072126,L042,0721,26,"40|41"
existing1711,L042072127,L042072127,L042,0721,27,"42|43"
existing1711,L042072128,L042072128,L042,0721,28,"44|45"
new289,L042072637,L042072129,L042,0721,29,"3175|3176"
existing1711,L042072130,L042072130,L042,0721,30,"46|47"
existing1711,L042072131,L042072131,L042,0721,31,"48|49"
existing1711,L042072132,L042072132,L042,0721,32,"50|51"
new289,L042072638,L042072133,L042,0721,33,"3177|3178"
existing1711,L042072133,L042072134,L042,0721,34,"52|53"
existing1711,L042072134,L042072135,L042,0721,35,"54|55"
existing1711,L042072135,L042072136,L042,0721,36,"56|57"
existing1711,L042072138,L042072137,L042,0721,37,"58|59"
new289,L042072639,L042072138,L042,0721,38,"3179|3180"
existing1711,L042072142,L042072139,L042,0721,39,"60|61"
existing1711,L042072143,L042072140,L042,0721,40,"62|63"
existing1711,L042072144,L042072141,L042,0721,41,"64|65"
new289,L042072640,L042072142,L042,0721,42,"3181|3182"
existing1711,L042072145,L042072143,L042,0721,43,"66|67"
existing1711,L042072147,L042072144,L042,0721,44,"68|69"
existing1711,L042072148,L042072145,L042,0721,45,"70|71"
new289,L042072641,L042072146,L042,0721,46,"3183|3184"
existing1711,L042072150,L042072147,L042,0721,47,"72|73"
existing1711,L042072151,L042072148,L042,0721,48,"74|75"
existing1711,L042072153,L042072149,L042,0721,49,"76|77"
new289,L042072642,L042072150,L042,0721,50,"3185|3186"
existing1711,L042072154,L042072151,L042,0721,51,"78|79"
existing1711,L042072155,L042072152,L042,0721,52,"80|81"
existing1711,L042072156,L042072153,L042,0721,53,"82|83"
new289,L042072643,L042072154,L042,0721,54,"3187|3188"
existing1711,L042072157,L042072155,L042,0721,55,"84|85"
existing1711,L042072158,L042072156,L042,0721,56,"86|87"
existing1711,L042072159,L042072157,L042,0721,57,"88|89"
new289,L042072644,L042072158,L042,0721,58,"3189|3190"
existing1711,L042072161,L042072159,L042,0721,59,"90|91"
existing1711,L042072162,L042072160,L042,0721,60,"92|93"
existing1711,L042072163,L042072161,L042,0721,61,"94|95"
existing1711,L042072164,L042072162,L042,0721,62,"96|97"
new289,L042072645,L042072163,L042,0721,63,"3191|3192"
existing1711,L042072165,L042072164,L042,0721,64,"98|99"
existing1711,L042072166,L042072165,L042,0721,65,"100|101"
existing1711,L042072167,L042072166,L042,0721,66,"102|103"
new289,L042072646,L042072167,L042,0721,67,"3193|3194"
existing1711,L042072168,L042072168,L042,0721,68,"104|105"
existing1711,L042072169,L042072169,L042,0721,69,"106|107"
existing1711,L042072170,L042072170,L042,0721,70,"108|109"
existing1711,L042072202,L042072201,L042,0722,1,"110|111"
existing1711,L042072203,L042072202,L042,0722,2,"112|113"
existing1711,L042072204,L042072203,L042,0722,3,"114|115"
new289,L042072647,L042072204,L042,0722,4,"3195|3196"
existing1711,L042072205,L042072205,L042,0722,5,"116|117"
existing1711,L042072207,L042072206,L042,0722,6,"118|119"
existing1711,L042072208,L042072207,L042,0722,7,"120|121"
new289,L042072648,L042072208,L042,0722,8,"3197|3198"
existing1711,L042072209,L042072209,L042,0722,9,"122|123"
existing1711,L042072211,L042072210,L042,0722,10,"124|125"
existing1711,L042072213,L042072211,L042,0722,11,"126|127"
existing1711,L042072214,L042072212,L042,0722,12,"128|129"
new289,L042072649,L042072213,L042,0722,13,"3199|3200"
existing1711,L042072216,L042072214,L042,0722,14,"130|131"
existing1711,L042072217,L042072215,L042,0722,15,"132|133"
existing1711,L042072219,L042072216,L042,0722,16,"134|135"
new289,L042072650,L042072217,L042,0722,17,"3201|3202"
existing1711,L042072222,L042072218,L042,0722,18,"136|137"
existing1711,L042072224,L042072219,L042,0722,19,"138|139"
existing1711,L042072227,L042072220,L042,0722,20,"140|141"
new289,L042072651,L042072221,L042,0722,21,"3203|3204"
existing1711,L042072228,L042072222,L042,0722,22,"142|143"
existing1711,L042072230,L042072223,L042,0722,23,"144|145"
existing1711,L042072231,L042072224,L042,0722,24,"146|147"
new289,L042072652,L042072225,L042,0722,25,"3205|3206"
existing1711,L042072232,L042072226,L042,0722,26,"148|149"
existing1711,L042072233,L042072227,L042,0722,27,"150|151"
existing1711,L042072234,L042072228,L042,0722,28,"152|153"
new289,L042072653,L042072229,L042,0722,29,"3207|3208"
existing1711,L042072235,L042072230,L042,0722,30,"154|155"
existing1711,L042072238,L042072231,L042,0722,31,"156|157"
existing1711,L042072242,L042072232,L042,0722,32,"158|159"
existing1711,L042072243,L042072233,L042,0722,33,"160|161"
new289,L042072654,L042072234,L042,0722,34,"3209|3210"
existing1711,L042072244,L042072235,L042,0722,35,"162|163"
existing1711,L042072245,L042072236,L042,0722,36,"164|165"
existing1711,L042072247,L042072237,L042,0722,37,"166|167"
new289,L042072655,L042072238,L042,0722,38,"3211|3212"
existing1711,L042072248,L042072239,L042,0722,39,"168|169"
existing1711,L042072250,L042072240,L042,0722,40,"170|171"
existing1711,L042072251,L042072241,L042,0722,41,"172|173"
new289,L042072656,L042072242,L042,0722,42,"3213|3214"
existing1711,L042072253,L042072243,L042,0722,43,"174|175"
existing1711,L042072254,L042072244,L042,0722,44,"176|177"
existing1711,L042072255,L042072245,L042,0722,45,"178|179"
new289,L042072657,L042072246,L042,0722,46,"3215|3216"
existing1711,L042072256,L042072247,L042,0722,47,"180|181"
existing1711,L042072257,L042072248,L042,0722,48,"182|183"
existing1711,L042072258,L042072249,L042,0722,49,"184|185"
new289,L042072658,L042072250,L042,0722,50,"3217|3218"
existing1711,L042072261,L042072251,L042,0722,51,"186|187"
existing1711,L042072262,L042072252,L042,0722,52,"188|189"
existing1711,L042072263,L042072253,L042,0722,53,"190|191"
new289,L042072659,L042072254,L042,0722,54,"3219|3220"
existing1711,L042072265,L042072255,L042,0722,55,"192|193"
existing1711,L042072268,L042072256,L042,0722,56,"194|195"
existing1711,L042072269,L042072257,L042,0722,57,"196|197"
existing1711,L042072270,L042072258,L042,0722,58,"198|199"
